"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,11 Dec 2022 04:00:00 to 12 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-0.2,
,,,,,,,,
,,CASH,,,,,4,
,,,,,,,,
,,,,,,,,
2022-12-11 11:29:35,,,202.0,191564,TODD K,,,
,,,,,,,,
,,,,,,,,
6420148,,DEBORT KV PROSCECCO 200ML,,,,,6,
,,,,,,,,
,,GST Subtotal,,,,,6,
,,,,,,,,
,,GST Amount,,,,,0.55,
,,,,,,,,
,,EFTPOS,,,,,6,
,,,,,,,,
,,,,,,,,
2022-12-11 11:32:59,,,202.0,191565,TODD K,,,
,,,,,,,,
6030046,,CARL DRY BTL CTN,,,,,59.99,
,,,,,,,,
6628,,-11.99  P49 1 FOR $48.00,,,,,,
,,,,,,,,
6628,,P49 1 FOR $48.00,,,,,-11.99,
,,,,,,,,
,,GST Subtotal,,,,,48,
,,,,,,,,
,,,,,,,,
,,GST Amount,,,,,4.36,
,,,,,,,,
,,EFTPOS,,,,,48,
,,,,,,,,
,,,,,,,,
2022-12-11 11:38:38,,,202.0,191566,TODD K,,,
,,,,,,,,
6310469,,WEST COAST COOLER BTL 4PK,,,,,13.49,
,,,,,,,,
6310907,,AMPERSAND VODKA SODA 6% 4PK,,,,,23.990000000000002,
,,,,,,,,
6311252,,FLASHBACK DOUBLE BLUEB CAN 4PK,,,,,28.990000000000002,
,,,,,,,,
,,GST Subtotal,,,,,66.47,
,,,,,,,,
,,GST Amount,,,,,6.04,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,EFTPOS,,,,,66.47,
,,,,,,,,
,,,,,,,,
2022-12-11 11:41:21,,,201.0,615767,TODD K,,,
