"
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,01 Dec 2022 04:00:00 to 02 Dec 2022 03:59:59,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
6040167,,COOPERS SESSION ALE CTN,,,,,63.99,
,,GST Subtotal,,,,,63.99,
,,GST Amount,,,,,5.82,
VOID,,,,,,,,
6020127,,IRON JACK 30PK CANS,,,,,58.99,
,,,,,,,,
,,EFTPOS,,,,,63.99,
,,,,,,,,
,,,,,,,,
2022-12-01 13:55:47,,,202.0,189523.0,TODD K,,,
,,,,,,,,6020035
6020127,,IRON JACK 30PK CANS,,,,,58.99,
6310046,,BROOKVALE GINGER 330ML CAN 6PK,,,,,26.990000000000002,
6420029,,GOLDEN GATE SPUMANTE,,,,,7.99,
6420029,,GOLDEN GATE SPUMANTE,,,,,7.99,
,,,,,,,,
6210503,,JAMESON IRISH WHISKEY 1000ML,,,,,79.99,
,,,,,,,,
,,GST Subtotal,,,,,181.95000000000002,
,,,,,,,,
,,GST Amount,,,,,16.54,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
6310046,,BROOKVALE GINGER 330ML CAN 6PK,,,,,26.990000000000002,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
6020127,,IRON JACK 30PK CANS,,,,,58.99,
,,,,,,,,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,6030098
6420029,,GOLDEN GATE SPUMANTE,,,,,,
,,,,,,,,
,,,,,2,,15.98,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,EFTPOS,,,,,181.95000000000002,
,,,,,,,,
,,,,,,,,
2022-12-01 13:56:12,,,202.0,189524.0,TODD K,,,
,,,,,,,,
6030172,,4 PINES FRESHY ALE STB 6PK,,,,,19.990000000000002,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,19.990000000000002,
,,,,,,,,
,,GST Amount,,,,,1.82,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,EFTPOS,,,,,19.990000000000002,
,,,,,,,,
,,,,,,,,
2022-12-01 13:57:45,,,201.0,614406.0,TODD K,,,
,,,,,,,,
6310528,,WTURKEY 101 CAN 10PK,,,,,62.99,
,,,,,,,,
,,GST Subtotal,,,,,62.99,
,,,,,,,,
,,,,,,,,
,,GST Amount,,,,,5.73,
,,,,,,,,
,,EFTPOS,,,,,62.99,
,,,,,,,,
,,,,,,,,
